order_id,order_date,supplier_id,supplier_name,supplier_country,product_id,product_name,category,sku,warehouse_id,warehouse_location,quantity_ordered,quantity_received,unit_cost,total_cost,lead_time_days,on_time_delivery,quality_pass_rate,stock_on_hand,reorder_point,max_stock_level,days_of_inventory,stockout_occurred
SC001,2024-01-02,SUP01,TechSource Inc,United States,P012,Wireless Keyboard,Electronics,WK-BT-001,WH01,Chicago,500,500,18.50,9250.00,7,Yes,98.5,850,200,1000,34,No
SC002,2024-01-03,SUP02,FurniCo Global,Germany,P034,Office Chair,Furniture,OC-ERG-034,WH02,Frankfurt,200,198,98.00,19404.00,14,Yes,97.0,320,80,400,48,No
SC003,2024-01-05,SUP03,PaperWorld,China,P005,Notebook Set,Stationery,NB-A5-005,WH03,Shanghai,2000,2000,3.50,7000.00,21,Yes,99.2,3500,800,4000,52,No
SC004,2024-01-06,SUP01,TechSource Inc,United States,P021,Laptop Stand,Electronics,LS-ALU-021,WH01,Chicago,400,400,14.00,5600.00,7,Yes,99.0,680,150,800,45,No
SC005,2024-01-08,SUP04,LightDesign Co,Taiwan,P045,Desk Lamp,Furniture,DL-LED-045,WH04,Taipei,600,595,11.50,6842.50,10,Yes,98.0,950,200,1100,63,No
SC006,2024-01-10,SUP05,SoftwareHub,United States,P067,Project Management Software,Software,PM-ENT-067,WH01,Chicago,50,50,60.00,3000.00,1,Yes,100.0,80,20,100,N/A,No
SC007,2024-01-12,SUP01,TechSource Inc,United States,P078,USB-C Hub,Electronics,UC-7P-078,WH01,Chicago,800,800,9.00,7200.00,7,Yes,98.8,1200,300,1500,40,No
SC008,2024-01-15,SUP06,DeskMaster,Sweden,P089,Standing Desk,Furniture,SD-ADJ-089,WH02,Frankfurt,150,148,220.00,32560.00,18,No,96.5,195,50,250,39,No
SC009,2024-01-17,SUP07,AppDynamics,United States,P056,CRM Software,Software,CR-BIZ-056,WH01,Chicago,30,30,95.00,2850.00,1,Yes,100.0,45,10,60,N/A,No
SC010,2024-01-22,SUP02,FurniCo Global,Germany,P034,Office Chair,Furniture,OC-ERG-034,WH02,Frankfurt,180,175,98.00,17150.00,14,Yes,97.2,350,80,400,53,No
SC011,2024-01-25,SUP01,TechSource Inc,United States,P012,Wireless Keyboard,Electronics,WK-BT-001,WH03,Shanghai,300,300,19.00,5700.00,10,Yes,98.2,620,150,800,41,No
SC012,2024-02-01,SUP03,PaperWorld,China,P005,Notebook Set,Stationery,NB-A5-005,WH01,Chicago,3000,2990,3.50,10465.00,21,No,99.5,4100,800,5000,68,No
SC013,2024-02-03,SUP04,LightDesign Co,Taiwan,P045,Desk Lamp,Furniture,DL-LED-045,WH01,Chicago,500,500,11.50,5750.00,10,Yes,98.5,820,200,1000,55,No
SC014,2024-02-05,SUP01,TechSource Inc,United States,P021,Laptop Stand,Electronics,LS-ALU-021,WH02,Frankfurt,350,350,14.50,5075.00,8,Yes,99.0,580,120,700,39,No
